key.0;value.pv;value.sessions
04/07/2017;9;4
05/07/2017;3;3
06/07/2017;1;1
07/07/2017;1;1
18/07/2017;4;2
20/07/2017;1;1
21/07/2017;2;2
23/07/2017;1;1
24/07/2017;19;3
07/08/2017;1;1
11/08/2017;1;1
13/08/2017;2;2
