date,sessions_ga,show_phone_ga,reply_click_ga,server_date_day,sessions_yamato,show_phone_yamato,reply_click_yamato,vertical,goal18Completions,goal2Completions
20180608,190938,7014,NA,2018-06-08,156343,5678,365,autovit,3752,3262
20180609,165402,4154,NA,2018-06-09,129055,3322,262,autovit,2011,2143
20180610,185099,5610,NA,2018-06-10,157776,4563,383,autovit,2897,2713
20180611,200908,8263,NA,2018-06-11,164745,6714,403,autovit,4463,3800
20180612,188938,7437,NA,2018-06-12,154628,6100,440,autovit,4093,3344
20180613,194073,7381,NA,2018-06-13,162964,6004,384,autovit,4241,3140
20180614,195584,7141,NA,2018-06-14,158447,5731,411,autovit,4075,3066
20180615,184183,6864,NA,2018-06-15,152465,5563,388,autovit,3777,3087
20180616,166562,5639,NA,2018-06-16,147480,4368,356,autovit,2732,2907
20180617,201698,6154,NA,2018-06-17,166633,4966,414,autovit,3073,3081
20180618,207356,8245,NA,2018-06-18,164734,6498,477,autovit,4611,3634
20180619,191016,7523,NA,2018-06-19,165264,5949,414,autovit,4171,3352
20180620,179262,6998,NA,2018-06-20,156287,5661,395,autovit,3900,3098
20180621,185885,7157,NA,2018-06-21,153135,5699,397,autovit,4009,3148
20180622,194439,6975,NA,2018-06-22,156121,5543,399,autovit,3912,3063
20180623,172421,6256,NA,2018-06-23,142571,4882,414,autovit,3128,3128
20180624,195525,6398,NA,2018-06-24,172142,5112,461,autovit,3132,3266
20180625,194907,7969,NA,2018-06-25,168296,6345,455,autovit,4470,3499
20180626,198516,7688,NA,2018-06-26,170126,6229,447,autovit,4210,3478
20180627,211955,8675,NA,2018-06-27,179702,6831,523,autovit,4877,3798
20180628,194113,7766,NA,2018-06-28,160328,5879,421,autovit,4403,3363
20180629,197911,7621,NA,2018-06-29,163041,6051,416,autovit,4192,3429
20180630,169417,5732,NA,2018-06-30,149570,4525,411,autovit,2870,2862
