"","formula","n_tree","n_folds","error_per","MAE","n_predictors"
"56","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",200,2,0.169623133593787,8302.83718475395,9
"57","price_RON~ make+mileage",300,2,0.6209136847396,22707.0626193782,2
"58","price_RON~ make+mileage+age",300,2,0.368766173252339,16272.6096222538,3
"59","price_RON~ make+mileage+age+model",300,2,0.464251285104656,19701.6907975493,4
"60","price_RON~ make+mileage+age+model+engine_power",300,2,0.207308033512023,9434.16816309,5
"61","price_RON~ make+mileage+age+model+engine_power+fuel_type",300,2,0.224320557590089,9614.08885560727,6
"62","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",300,2,0.210961767373305,9313.16897912293,7
"63","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",300,2,0.200559398148719,8969.99334961845,8
"64","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",300,2,0.169627393434253,8262.96784847508,9
"65","price_RON~ make+mileage",500,2,0.615998107967449,22621.7832187158,2
"66","price_RON~ make+mileage+age",500,2,0.368045194778228,16241.2926498562,3
"67","price_RON~ make+mileage+age+model",500,2,0.468829820575462,19828.3251265644,4
"68","price_RON~ make+mileage+age+model+engine_power",500,2,0.207330531744195,9411.44466494212,5
"69","price_RON~ make+mileage+age+model+engine_power+fuel_type",500,2,0.222742945521643,9538.44015393172,6
"70","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",500,2,0.212550858302239,9357.06213332314,7
"71","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",500,2,0.199800374586828,9031.75169790407,8
"72","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",500,2,0.169061855815607,8252.616843907,9
"73","price_RON~ make+mileage",1000,2,0.620508730365762,22697.3739534891,2
"74","price_RON~ make+mileage+age",1000,2,0.370428680169721,16290.0650777145,3
"75","price_RON~ make+mileage+age+model",1000,2,0.465177936969025,19693.0328160891,4
"76","price_RON~ make+mileage+age+model+engine_power",1000,2,0.207673199153418,9423.02669995877,5
"77","price_RON~ make+mileage+age+model+engine_power+fuel_type",1000,2,0.223609968879809,9586.19182844265,6
"78","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",1000,2,0.211432675177263,9362.84666430299,7
"79","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",1000,2,0.199022464309981,8959.09432751439,8
"80","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",1000,2,0.168491277275583,8245.11972680601,9
"81","price_RON~ make+mileage",100,3,0.646495953195836,22737.9917170417,2
"82","price_RON~ make+mileage+age",100,3,0.372543630384772,15556.3233421611,3
"83","price_RON~ make+mileage+age+model",100,3,0.466138129868942,20060.0370463246,4
"84","price_RON~ make+mileage+age+model+engine_power",100,3,0.200591220847731,8874.09788517214,5
"85","price_RON~ make+mileage+age+model+engine_power+fuel_type",100,3,0.220509574474353,9149.79190174343,6
"86","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",100,3,0.209430987066749,8965.39050647159,7
"87","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",100,3,0.197311011542955,8660.39557900162,8
"88","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",100,3,0.163659711638876,7764.68723910012,9
"89","price_RON~ make+mileage",200,3,0.629243695141892,22314.4284481963,2
"90","price_RON~ make+mileage+age",200,3,0.366828804647114,15417.9832529324,3
"91","price_RON~ make+mileage+age+model",200,3,0.457654343073222,19670.5658558426,4
"92","price_RON~ make+mileage+age+model+engine_power",200,3,0.199675403832949,8832.70841290225,5
"93","price_RON~ make+mileage+age+model+engine_power+fuel_type",200,3,0.218774392056355,9074.08544241258,6
"94","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",200,3,0.207998820781402,8905.0573205399,7
"95","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",200,3,0.194783009545535,8568.93815743486,8
"96","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",200,3,0.164005960147804,7762.87542651729,9
"97","price_RON~ make+mileage",300,3,0.638694532861493,22424.1054672557,2
"98","price_RON~ make+mileage+age",300,3,0.368640455783996,15418.6808235204,3
"99","price_RON~ make+mileage+age+model",300,3,0.461180295539774,19729.827471292,4
"100","price_RON~ make+mileage+age+model+engine_power",300,3,0.200567492312721,8860.18735011445,5
"101","price_RON~ make+mileage+age+model+engine_power+fuel_type",300,3,0.219894208268033,9076.67584222376,6
"102","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",300,3,0.208652392852878,8936.11057251519,7
"103","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",300,3,0.197105538713568,8529.67459866444,8
"104","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",300,3,0.164168368093179,7772.71250797466,9
"105","price_RON~ make+mileage",500,3,0.63669243568296,22381.2800118517,2
"106","price_RON~ make+mileage+age",500,3,0.368307568514734,15441.9236393001,3
"107","price_RON~ make+mileage+age+model",500,3,0.463143783651175,19928.9594638641,4
"108","price_RON~ make+mileage+age+model+engine_power",500,3,0.199346536641273,8827.17387329098,5
"109","price_RON~ make+mileage+age+model+engine_power+fuel_type",500,3,0.219026064767488,9047.77010803941,6
"110","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",500,3,0.207782495743356,8871.89599353072,7
"111","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",500,3,0.194688975218846,8476.08011955356,8
"112","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",500,3,0.163495082156661,7756.03875141636,9
"113","price_RON~ make+mileage",1000,3,0.639833102642943,22515.9915926726,2
"114","price_RON~ make+mileage+age",1000,3,0.369449679472568,15435.4816947614,3
"115","price_RON~ make+mileage+age+model",1000,3,0.458918318686301,19770.0156020818,4
"116","price_RON~ make+mileage+age+model+engine_power",1000,3,0.199742782944274,8827.30505537967,5
"117","price_RON~ make+mileage+age+model+engine_power+fuel_type",1000,3,0.218086568561873,9059.90334799287,6
"118","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",1000,3,0.206530346966839,8837.51952904812,7
"119","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",1000,3,0.195535148101117,8529.49538054143,8
"120","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",1000,3,0.163559619976977,7744.90400965861,9
"121","price_RON~ make+mileage",100,4,0.856111521146865,26979.1774927157,2
"122","price_RON~ make+mileage+age",100,4,0.454799188021119,18104.3608912188,3
"123","price_RON~ make+mileage+age+model",100,4,0.546300701027361,22333.6590662725,4
"124","price_RON~ make+mileage+age+model+engine_power",100,4,0.222497605238451,9830.36298894617,5
"125","price_RON~ make+mileage+age+model+engine_power+fuel_type",100,4,0.237639555199891,9900.41054564656,6
"126","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",100,4,0.21127509897166,9047.73435039291,7
"127","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",100,4,0.201743070009226,8596.88255506459,8
"128","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",100,4,0.173584354548972,7988.76288689764,9
"129","price_RON~ make+mileage",200,4,0.868890224178369,27104.2152178537,2
"130","price_RON~ make+mileage+age",200,4,0.4505934817965,17959.2695595905,3
"131","price_RON~ make+mileage+age+model",200,4,0.541426416892244,22053.4932000581,4
"132","price_RON~ make+mileage+age+model+engine_power",200,4,0.220816571575011,9717.90889414358,5
"133","price_RON~ make+mileage+age+model+engine_power+fuel_type",200,4,0.237317600914746,9897.26547068141,6
"134","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",200,4,0.215609480813703,9110.84774800437,7
"135","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",200,4,0.201905644733831,8638.84806000823,8
"136","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",200,4,0.172187174041741,7952.36839711554,9
"137","price_RON~ make+mileage",300,4,0.874911050366516,27160.1092617089,2
"138","price_RON~ make+mileage+age",300,4,0.448464864513329,17905.6258165491,3
"139","price_RON~ make+mileage+age+model",300,4,0.548894069010501,22244.027109564,4
"140","price_RON~ make+mileage+age+model+engine_power",300,4,0.220173380552925,9707.99654499583,5
"141","price_RON~ make+mileage+age+model+engine_power+fuel_type",300,4,0.236711181941352,9919.94304448105,6
"142","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",300,4,0.211953026702416,9019.30942831394,7
"143","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",300,4,0.200651930201378,8559.59644308754,8
"144","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",300,4,0.17108572978798,7931.59737300764,9
"145","price_RON~ make+mileage",500,4,0.863828124829829,27037.0424427766,2
"146","price_RON~ make+mileage+age",500,4,0.451864498767628,18001.6842863099,3
