key.0;value.pv;value.sessions
08/08/2017;8;3
09/08/2017;21;9
10/08/2017;817;106
11/08/2017;1178;179
12/08/2017;1415;154
13/08/2017;1184;192
14/08/2017;1403;229
15/08/2017;2926;377
16/08/2017;3656;535
17/08/2017;4469;513
18/08/2017;4050;474
19/08/2017;2665;343
