key.0;value.pv;value.sessions
04/07/2017;216;7
05/07/2017;35;3
06/07/2017;42;4
07/07/2017;13;2
11/07/2017;3;1
12/07/2017;39;4
17/07/2017;37;1
18/07/2017;16;1
21/07/2017;1;1
28/07/2017;3;1
31/07/2017;1;1
03/08/2017;26;2
04/08/2017;2;1
07/08/2017;5;1
11/08/2017;1;1
17/08/2017;27;5
18/08/2017;10;1
19/08/2017;2;1
