key.0;value.pv;value.sessions
10/08/2017;148;56
11/08/2017;137;38
12/08/2017;347;37
13/08/2017;213;64
14/08/2017;266;68
15/08/2017;279;61
16/08/2017;354;104
17/08/2017;550;130
18/08/2017;517;132
19/08/2017;391;92
