key.0;value.pv;value.sessions
04/07/2017;38;4
05/07/2017;155;6
06/07/2017;9;2
10/07/2017;3;1
11/07/2017;102;5
12/07/2017;11;1
13/07/2017;3;1
14/07/2017;2;1
19/07/2017;15;2
20/07/2017;15;2
25/07/2017;2;1
27/07/2017;1;1
03/08/2017;9;2
13/08/2017;14;1
14/08/2017;32;4
15/08/2017;22;1
16/08/2017;32;7
17/08/2017;6;1
18/08/2017;6;2
19/08/2017;31;1
