livesync_dbname	created_at_first_day	name_en	blank_description	qtylistings	qtylistingswithliquidity	perlistingswithliquidity
carspt	2017-08-28	Cars	false	727	202	0.2778541953232462173
carspt	2017-08-29	Cars	false	758	208	0.2744063324538258575
carspt	2017-08-30	Cars	false	686	235	0.3425655976676384839
carspt	2017-08-31	Cars	false	600	214	0.3566666666666666666
carspt	2017-09-01	Cars	false	585	209	0.3572649572649572649
carspt	2017-09-02	Cars	false	435	196	0.4505747126436781609
carspt	2017-09-03	Cars	false	276	93	0.3369565217391304347
carspt	2017-09-04	Cars	false	575	195	0.3391304347826086956
carspt	2017-09-05	Cars	false	592	211	0.3564189189189189189
carspt	2017-09-06	Cars	false	716	246	0.3435754189944134078
carspt	2017-09-07	Cars	false	598	261	0.4364548494983277591
carspt	2017-09-08	Cars	false	685	223	0.3255474452554744525
carspt	2017-09-09	Cars	false	445	206	0.4629213483146067415
carspt	2017-09-10	Cars	false	228	101	0.4429824561403508771
carspt	2017-09-11	Cars	false	634	236	0.3722397476340694006
carspt	2017-09-12	Cars	false	794	254	0.3198992443324937027
carspt	2017-09-13	Cars	false	644	197	0.3059006211180124223
carspt	2017-09-14	Cars	false	607	243	0.4003294892915980230
carspt	2017-09-15	Cars	false	640	229	0.3578125000000000000
carspt	2017-09-16	Cars	false	482	210	0.4356846473029045643
carspt	2017-09-17	Cars	false	232	78	0.3362068965517241379
carspt	2017-09-18	Cars	false	663	239	0.3604826546003016591
carspt	2017-09-19	Cars	false	620	236	0.3806451612903225806
carspt	2017-09-20	Cars	false	692	228	0.3294797687861271676
carspt	2017-09-21	Cars	false	661	265	0.4009077155824508320
carspt	2017-09-22	Cars	false	589	226	0.3837011884550084889
carspt	2017-09-23	Cars	false	448	216	0.4821428571428571428
carspt	2017-09-24	Cars	false	280	103	0.3678571428571428571
carspt	2017-09-25	Cars	false	701	264	0.3766048502139800285
carspt	2017-09-26	Cars	false	748	270	0.3609625668449197860
carspt	2017-09-27	Cars	false	634	236	0.3722397476340694006
